aniz,R
anjon,R
ankaŭ,X
ankiloz,R
ankoraŭ,X
ankr,R
anksi,R
anobi,R
anod,R
anomali,R
anon,R
anonc,R
anonim,R
anorak,R
ans,R
anselm,R
anser,R
anstataŭ,Z
anstrom,R
ant,S
antarkt,R
antaŭ,Z
antecedent,R
anti,R
antibiotik,R
anticip,R
antigv,R
antikv,R
antimon,R
antipod,R
antologi,R
antonim,R
antonomazi,R
antraks,R
antrop,R
antropologi,R
antropozof,R
antropozofi,R
anuitat,R
Anunciaci,R
anunciaci,R
anur,R
anyone,R
aort,R
apaĉ,R
apanaĝ,R
aparat,R
apart,R
apartament,R
aparten,R
apati,R
apatit,R
apel,R
apelaci,R
apenaŭ,X
apendic,R
apendicit,R
apenin,R
apepsi,R
aper,R
apert,R
apertur,R
apetit,R
api,R
apiac,R
apik,R
aplanat,R
aplaŭd,R
aplik,R
aplomb,R
apod,R
apofiz,R
apog,R
apoge,R
apoĝatur,R
apokalips,R
apokop,R
apokrif,R
apol,R
apolog,R
apologetik,R
apologi,R
apolon,R
apopleksi,R
apori,R
apostat,R
aposterior,R
apostol,R
apostrof,R
apotek,R
apotem,R
apoteoz,R
apozici,R
apr,R
apretur,R
aprez,R
April,R
april,R
aprior,R
aprob,R
aproksim,R
apsar,R
apsid,R
apud,Z
apunt,R
apus,R
ar,S
ara,R
arab,R
arabesk,R
arak,R
arakid,R
arali,R
arame,R
arane,R
aranĝ,R
araŭkari,R
arb,R
arbitr,R
arbust,R
arbut,R
arĉ,R
ard,R
arde,R
ardez,R
are,R
areal,R
arek,R
aren,R
ares,R
arest,R
argan,R
argil,R
argon,R
argonaŭt,R
argument,R
argus,R
arĝent,R
arhat,R
arĥitektur,R
ari,R
ariergard,R
aristofan,R
aristokrati,R
aristoloĥi,R
aristoloki,R
aritmetik,R
arizon,R
arj,R
ark,R
arkaik,R
arkansas,R
arkebuz,R
arkeolog,R
arkeologi,R
arkeopterik,R
arki,R
arkiduk,R
arkimed,R
arkipelag,R
arkitekt,R
arleken,R
arm,R
arme,R
armistic,R
armoraci,R
arn,R
arnik,R
arnold,R
arnulf,R
arob,R
arog,R
arogant,R
arom,R
aromat,R
arorut,R
arpeĝ,R
arsenik,R
arŝin,R
art,R
artemizi,R
arteri,R
artez,R
artifik,R
artik,R
artikol,R
artikulaci,R
artileri,R
artiŝok,R
artrit,R
artropod,R
arum,R
arunaĉalpradeŝ,R
arund,R
as,T
asafetid,R
asai,R
ascend,R
asekur,R
asembl,R
asemble,R
aseps,R
asert,R
asesor,R
asfalt,R
asfiksi,R
asfodel,R
asidu,R
asign,R
asimil,R
asimptot,R
asiri,R
asiriologi,R
asist,R
asiz,R
askarid,R
asket,R
aski,R
asklepiad,R
asoci,R
asonanc,R
asparag,R
aspekt,R
asperg,R
aspid,R
aspr,R
astak,R
astat,R
astaten,R
aster,R
asteri,R
asteroid,R
astm,R
astr,R
astrakan,R
astrolab,R
astrologi,R
astronaŭt,R
astronomi,R
asturi,R
asuncion,R
aŝgabat,R
aŝkenaz,R
aŝok,R
aŝram,R
at,S
atak,R
ataŝe,R
ate,R
ateism,R
atelier,R
atenc,R
atend,R
atent,R
atest,R
atik,R
ating,R
atlant,R
atlantid,R
atlantik,R
atlet,R
atletik,R
atmosfer,R
atom,R
atomium,R
ator,R
atrakci,R
atrepsi,R
atri,R
atribu,R
atribut,R
atripl,R
atrofi,R
atropin,R
atut,R
aujourd,R
aŭ,X
aŭd,R
aŭdac,R
aŭdienc,R
aŭditori,R
aŭgmentativ,R
aŭgsburg,R
aŭgur,R
aŭgust,R
Aŭgust,R
aŭk,R
aŭkci,R
aŭked,R
aŭl,R
aŭrikl,R
aŭror,R
aŭskult,R
aŭspici,R
aŭstr,R
aŭstral,R
aŭstrali,R
aŭstralopitek,R
aŭstronezi,R
aŭt,R
aŭtarci,R
aŭtarki,R
aŭtentik,R
aŭto,R
aŭtobus,R
aŭtodafe,R
aŭtodidakt,R
